learning_rate_list,momentum_list,number_of_epochs_list,batch_size_list1,batch_size_list2,batch_size_list3,batch_size_list4,accuracy_train_list,accuracy_validation_list,cross_entropy_list,validation_list,time_list
0.3,0.6,20,16,32,64,128,0.547085201793722,0.5,0.776346954732281,0.19232853427481,0.25
0.3,0.6,20,16,32,64,128,0.547085201793722,0.5,0.896531133222896,-0.0345423321675136,0.265625
0.3,0.6,20,16,32,64,128,0.547085201793722,0.5,0.687794854802657,0.217304677301526,0.28125
0.3,0.6,20,16,32,64,128,0.547085201793722,0.5,0.340916075750696,-0.00176575488845865,0.25
0.3,0.6,30,16,32,64,128,0.547085201793722,0.5,0.750764397374083,0.365805396577613,0.21875
0.3,0.6,30,16,32,64,128,0.547085201793722,0.5,0.692625779076777,0.518540054786015,0.21875
0.3,0.6,30,16,32,64,128,0.547085201793722,0.5,0.883999257025125,0.466771644045131,0.28125
0.3,0.6,30,16,32,64,128,0.547085201793722,0.5,0.909051193820858,0.361300832073298,0.28125
0.3,0.7,10,16,32,64,128,0.547085201793722,0.5,0.484396253892307,0.491507905300413,0.21875
0.3,0.7,10,16,32,64,128,0.547085201793722,0.5,0.741597259102839,0.494076541836114,0.265625
0.3,0.7,10,16,32,64,128,0.547085201793722,0.5,0.686429624139166,0.460743971039158,0.234375
